,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,train,train_label,val,val_label,test,test_label
0,0,0,0,0,71,1,4,0,981,1
1,1,1,1,1,910,0,800,1,483,1
2,2,2,2,2,167,1,1034,1,1056,1
3,3,3,3,3,616,1,418,1,488,1
4,4,4,4,4,503,1,587,0,716,1
5,5,5,5,5,430,1,244,1,532,1
6,6,6,6,6,477,1,750,1,119,0
7,7,7,7,7,343,0,335,1,294,0
8,8,8,8,8,960,1,413,1,569,1
9,9,9,9,9,701,1,296,1,82,1
10,10,10,10,10,424,0,822,1,794,0
11,11,11,11,11,590,0,486,1,318,1
12,12,12,12,12,197,1,66,1,689,1
13,13,13,13,13,150,1,1051,0,578,1
14,14,14,14,14,125,1,928,1,783,0
15,15,15,15,15,140,1,426,1,986,1
16,16,16,16,16,953,0,681,0,726,1
17,17,17,17,17,541,1,751,1,371,0
18,18,18,18,18,880,1,856,1,406,1
19,19,19,19,19,650,1,857,1,109,0
20,20,20,20,20,32,1,1018,0,427,1
21,21,21,21,21,519,1,843,1,924,0
22,22,22,22,22,725,1,1043,1,288,1
23,23,23,23,23,758,0,518,0,974,1
24,24,24,24,24,20,1,291,1,581,1
25,25,25,25,25,214,1,142,1,849,1
26,26,26,26,26,463,1,609,1,1032,1
27,27,27,27,27,641,0,896,1,805,1
28,28,28,28,28,702,1,712,1,260,1
29,29,29,29,29,1045,1,557,1,534,1
30,30,30,30,30,70,1,303,1,274,1
31,31,31,31,31,999,0,253,1,1028,1
32,32,32,32,32,692,0,92,1,898,1
33,33,33,33,33,646,0,388,1,817,0
34,34,34,34,34,452,1,746,0,455,1
35,35,35,35,35,113,1,660,1,105,1
36,36,36,36,36,596,1,5,0,793,1
37,37,37,37,37,298,1,207,1,1015,1
38,38,38,38,38,877,1,53,0,733,1
39,39,39,39,39,355,0,220,1,995,1
40,40,40,40,40,826,1,46,0,704,1
41,41,41,41,41,796,1,762,1,852,1
42,42,42,42,42,512,0,1021,1,208,1
43,43,43,43,43,257,1,915,1,978,1
44,44,44,44,44,270,1,891,1,535,1
45,45,45,45,45,582,0,651,1,970,1
46,46,46,46,46,281,1,933,1,806,1
47,47,47,47,47,342,1,834,0,349,0
48,48,48,48,48,23,1,718,1,194,1
49,49,49,49,49,192,0,242,1,846,0
50,50,50,50,50,41,0,43,1,777,0
51,51,51,51,51,815,1,1040,0,351,1
52,52,52,52,52,378,1,939,0,67,1
53,53,53,53,53,146,1,546,1,52,0
54,54,54,54,54,407,1,62,1,850,1
55,55,55,55,55,627,0,775,1,227,0
56,56,56,56,56,203,1,44,0,190,1
57,57,57,57,57,97,0,684,1,810,1
58,58,58,58,58,376,1,487,1,115,1
59,59,59,59,59,807,0,1041,1,886,1
60,60,60,60,60,876,1,628,1,528,0
61,61,61,61,61,126,1,311,1,86,1
62,62,62,62,62,87,1,1055,1,561,1
63,63,63,63,63,567,1,942,0,968,1
64,64,64,64,64,316,1,676,1,755,1
65,65,65,65,65,277,1,77,0,688,1
66,66,66,66,66,682,0,617,1,803,1
67,67,67,67,67,552,1,982,1,102,1
68,68,68,68,68,437,1,128,1,693,1
69,69,69,69,69,93,1,861,1,21,1
70,70,70,70,70,779,1,804,1,757,1
71,71,71,71,71,975,1,1006,1,175,1
72,72,72,72,72,1029,1,81,1,101,1
73,73,73,73,73,290,0,396,0,11,1
74,74,74,74,74,1023,1,797,1,436,1
75,75,75,75,75,459,1,741,0,258,0
76,76,76,76,76,45,0,736,1,809,0
77,77,77,77,77,513,1,410,0,155,0
78,78,78,78,78,524,0,585,1,837,1
79,79,79,79,79,451,1,36,1,139,1
80,80,80,80,80,75,1,84,0,568,0
81,81,81,81,81,768,1,337,0,299,1
82,82,82,82,82,612,1,667,1,184,1
83,83,83,83,83,580,1,1037,0,679,1
84,84,84,84,84,865,0,961,0,498,0
85,85,85,85,85,560,1,515,1,68,1
86,86,86,86,86,80,0,763,1,548,1
87,87,87,87,87,661,0,623,0,6,0
88,88,88,88,88,255,1,657,1,261,1
89,89,89,89,89,918,0,237,1,54,1
90,90,90,90,90,265,0,967,1,449,0
91,91,91,91,91,964,1,16,1,364,1
92,92,92,92,92,193,0,209,1,525,1
93,93,93,93,93,659,1,1049,0,273,0
94,94,94,94,94,305,1,234,1,1054,1
95,95,95,95,95,29,1,161,0,108,0
96,96,96,96,96,156,0,744,1,565,1
97,97,97,97,97,496,1,821,1,289,1
98,98,98,98,98,148,0,127,1,945,1
99,99,99,99,99,312,1,683,1,268,1
100,100,100,100,100,429,1,354,1,382,0
101,101,101,101,101,957,1,1033,1,131,0
102,102,102,102,102,340,1,1011,1,508,1
103,103,103,103,103,42,1,912,1,972,1
104,104,104,104,104,521,1,884,1,706,1
105,105,105,105,105,100,0,940,1,168,1
106,106,106,106,106,795,1,848,1,138,1
107,107,107,107,107,808,1,147,0,300,1
108,108,108,108,108,888,0,390,1,204,1
109,109,109,109,109,201,1,778,1,566,0
110,110,110,110,110,325,1,889,1,1027,1
111,111,111,111,111,469,1,181,1,614,0
112,112,112,112,112,885,1,360,1,1000,1
113,113,113,113,113,136,1,666,1,222,1
114,114,114,114,114,411,1,187,1,500,0
115,115,115,115,115,90,1,862,1,1030,1
116,116,116,116,116,493,1,466,0,50,1
117,117,117,117,117,908,1,18,1,992,1
118,118,118,118,118,319,1,517,1,858,1
119,119,119,119,119,280,0,272,0,776,1
120,120,120,120,120,1024,1,613,1,441,1
121,121,121,121,121,162,0,78,1,98,0
122,122,122,122,122,384,1,63,1,844,0
123,123,123,123,123,423,0,153,1,1058,1
124,124,124,124,124,419,1,215,1,698,1
125,125,125,125,125,160,1,338,0,447,1
126,126,126,126,126,47,1,931,1,9,1
127,127,127,127,127,188,1,65,1,949,1
128,128,128,128,128,937,1,331,0,245,0
129,129,129,129,129,235,1,225,1,183,1
130,130,130,130,130,1009,1,380,0,345,0
131,131,131,131,131,730,0,948,1,489,1
132,132,132,132,132,543,1,457,1,854,0
133,133,133,133,133,670,1,951,1,644,1
134,134,134,134,134,863,1,229,1,663,1
135,135,135,135,135,397,0,103,1,152,1
136,136,136,136,136,853,1,813,0,563,1
137,137,137,137,137,416,1,25,1,510,1
138,138,138,138,138,252,1,814,1,434,1
139,139,139,139,139,728,0,232,1,669,1
140,140,140,140,140,28,0,315,1,26,1
141,141,141,141,141,635,0,402,1,839,1
142,142,142,142,142,904,0,589,1,223,0
143,143,143,143,143,602,1,971,1,830,1
144,144,144,144,144,529,1,622,1,819,1
145,145,145,145,145,185,1,917,0,177,0
146,146,146,146,146,709,1,267,1,966,0
147,147,147,147,147,1004,1,789,1,1031,0
148,148,148,148,148,494,1,962,1,107,0
149,149,149,149,149,275,1,326,1,781,1
150,150,150,150,150,973,1,637,1,460,1
151,151,151,151,151,522,1,629,1,286,0
152,152,152,152,152,55,1,121,1,526,1
153,153,153,153,153,69,0,900,0,737,1
154,154,154,154,154,747,1,770,1,798,1
155,155,155,155,155,801,1,914,1,230,1
156,156,156,156,156,241,1,594,1,1038,0
157,157,157,157,157,771,0,539,1,555,1
158,158,158,158,158,720,1,171,1,231,1
159,159,159,159,159,392,0,722,1,831,0
160,160,160,160,160,95,1,574,1,745,1
161,161,161,161,161,633,1,883,1,788,1
162,162,162,162,162,1017,1,703,0,233,1
