index,train,train_label,val,val_label,test,test_label
0,685,0,97,1,188,0
1,504,0,667,0,300,0
2,620,0,35,0,240,0
3,629,0,1055,0,124,0
4,152,0,789,0,422,0
5,474,0,353,1,876,0
6,479,0,498,1,694,0
7,33,0,128,0,512,1
8,473,0,579,0,465,0
9,244,0,926,0,546,0
10,96,1,776,0,674,0
11,5,1,406,0,511,0
12,681,1,215,0,567,0
13,989,0,403,0,642,0
14,412,0,754,0,832,0
15,171,0,770,0,658,1
16,95,0,969,1,529,0
17,185,0,293,0,886,0
18,866,1,190,0,147,1
19,995,0,915,0,467,0
20,919,0,768,0,553,1
21,878,0,220,0,957,0
22,601,1,355,1,404,0
23,639,0,548,0,1037,1
24,684,0,238,0,478,0
25,460,0,123,0,734,0
26,743,1,260,0,36,0
27,1000,0,756,0,747,0
28,408,0,683,0,236,0
29,1018,1,616,0,899,0
30,226,0,788,0,594,0
31,673,1,367,0,897,0
32,301,0,428,0,617,0
33,518,1,552,0,782,1
34,296,0,234,0,106,0
35,154,0,502,0,164,0
36,172,0,755,0,1026,0
37,113,0,939,1,359,1
38,230,0,277,0,333,0
39,803,0,410,1,398,0
40,314,0,193,1,672,0
41,701,0,374,1,932,0
42,870,1,724,1,304,1
43,912,0,81,0,758,1
44,765,0,964,0,469,0
45,44,1,299,0,340,0
46,232,0,891,0,458,0
47,638,0,626,0,868,0
48,372,0,37,0,268,0
49,366,0,622,0,222,0
50,623,1,335,0,980,0
51,151,1,270,0,827,0
52,662,0,819,0,1025,1
53,1044,0,425,1,763,0
54,253,0,856,0,66,0
55,1005,0,99,0,227,1
56,748,0,829,0,859,0
57,450,0,107,1,729,0
58,506,1,714,0,307,0
59,895,0,686,0,802,0
60,648,0,984,0,432,1
61,914,0,636,0,203,0
62,161,1,774,1,837,0
63,1013,0,635,1,925,0
64,542,0,612,0,687,1
65,69,1,766,0,131,1
66,317,0,482,0,619,1
67,677,0,697,0,882,0
68,80,1,162,1,692,1
69,166,0,385,0,180,0
70,923,0,705,0,135,0
71,360,0,322,0,352,0
72,156,1,221,0,112,0
73,830,0,477,0,371,1
74,524,1,1047,0,101,0
75,809,1,716,0,93,0
76,783,1,132,0,11,0
77,520,0,68,0,463,0
78,903,0,759,0,640,1
79,212,0,194,0,249,0
80,902,0,767,0,500,1
81,46,1,388,0,983,0
82,592,0,535,0,884,0
83,126,0,73,0,1029,0
84,920,0,175,0,262,1
85,368,0,332,0,651,0
86,971,0,327,0,216,0
87,695,1,757,0,820,0
88,812,0,769,0,559,1
89,736,0,231,0,28,1
90,948,0,267,0,1015,0
91,519,0,978,0,49,1
92,604,1,961,1,370,1
93,329,1,833,0,521,0
94,344,0,702,0,568,1
95,23,0,325,0,863,0
96,365,0,780,0,405,0
97,1010,0,816,1,88,0
98,83,0,645,0,306,0
99,840,1,245,1,608,0
100,637,0,434,0,908,0
101,383,1,606,1,326,0
102,653,0,102,0,76,0
103,282,0,373,0,1031,1
104,936,0,659,0,922,0
105,9,0,750,0,796,0
106,313,0,129,0,348,0
107,537,0,580,0,351,0
108,874,0,965,0,1023,0
109,1006,0,735,0,75,0
110,108,1,1020,0,507,0
111,823,0,586,0,760,1
112,170,0,265,1,898,0
113,854,1,499,0,900,1
114,516,0,117,0,256,0
115,252,0,836,0,386,0
116,1052,0,334,1,235,0
117,666,0,924,1,1054,0
118,545,0,930,0,134,0
119,103,0,184,0,737,0
120,64,1,419,0,493,0
121,305,0,973,0,865,1
122,148,1,618,0,749,0
123,125,0,790,0,943,0
124,831,1,917,1,341,0
125,999,1,652,0,708,0
126,624,0,630,0,149,1
127,271,0,669,0,435,0
128,934,0,311,0,363,0
129,706,0,551,0,951,0
130,291,0,678,0,424,1
131,50,0,570,0,196,0
132,120,0,933,0,401,1
133,399,1,16,0,197,0
134,242,0,785,0,38,0
135,395,0,938,0,40,0
136,160,0,815,0,527,0
137,1017,0,303,0,711,0
138,150,0,52,1,941,0
139,550,0,1032,0,795,0
140,18,0,22,0,233,0
141,786,0,996,1,1035,0
142,543,0,966,1,569,0
143,324,1,890,0,481,0
144,536,0,7,0,105,0
145,787,0,646,1,728,1
146,847,1,947,0,798,0
147,448,0,279,0,397,1
148,909,0,273,1,420,1
149,544,0,861,0,583,0
150,471,0,534,0,468,1
151,449,1,79,0,118,0
152,725,0,817,1,875,0
153,959,1,453,0,2,1
154,954,1,239,1,555,0
155,488,0,572,0,575,1
156,970,0,251,1,456,0
157,931,0,1014,0,330,0
158,605,0,214,0,1030,0
159,472,0,739,0,963,0
160,89,0,122,0,312,0
161,525,0,610,0,928,0
162,1027,0,70,0,41,1
163,74,0,541,0,888,1
164,47,0,781,0,485,0
165,522,0,944,0,302,1
166,411,0,613,0,563,0
167,975,0,116,1,927,1
168,670,0,713,0,379,0
169,576,0,745,0,668,0
170,661,1,168,0,361,0
171,660,0,528,1,269,1
172,808,0,690,0,376,0
173,51,0,157,0,910,1
174,183,0,873,0,513,0
175,264,0,693,0,158,0
176,119,1,946,0,199,1
177,591,0,442,0,390,0
178,600,0,65,0,338,1
179,4,1,784,0,727,0
180,822,0,32,0,263,0
181,775,0,71,0,452,0
182,347,0,441,0,972,0
183,402,0,200,0,689,0
184,286,1,581,0,484,0
185,142,0,98,1,492,1
186,466,1,266,0,494,0
187,284,0,771,1,15,0
188,742,0,997,1,254,1
189,133,0,319,0,793,0
190,603,1,362,1,988,0
